"","ResponseId","income","exp1_tech_cons"
"1","R_1Gxp3AAhwERQI5W","1.201€ - 1.500€","1.201€ - 1.500€"
"2","R_1jThAxsr8ffHXtC","600€ or less","600€ or less"
"3","R_2aKr02hN9Hin9Fz","2.301€ - 2.750€","2.301€ - 2.750€"
"4","R_2Sv736AepVckkfd","1.501€ - 1.800€","1.501€ - 1.800€"
"5","R_3n8XAvnGMzZjjN3","901€ - 1.200€","901€ - 1.200€"
"6","R_xtmi9JbIQK67ByF","901€ - 1.200€","901€ - 1.200€"
"7","R_3Kr0Lnh6mJaKLNG","1.801€ - 2.100€","1.801€ - 2.100€"
"8","R_2Vqk3eWmlqkHH2e","1.801€ - 2.100€","1.801€ - 2.100€"
"9","R_2uVSTJrXwVstyuG","901€ - 1.200€","901€ - 1.200€"
"10","R_OpQdWXae2Py1mjT","601€ - 900€","601€ - 900€"
"11","R_2tE7sLTEM39muYq","1.501€ - 1.800€","1.501€ - 1.800€"
"12","R_3PNacIKD8UFHEv2","1.501€ - 1.800€","1.501€ - 1.800€"
"13","R_cAqtfwQhmSTKQ1j","1.501€ - 1.800€","1.501€ - 1.800€"
"14","R_dgKQgM5iRKMLJDP","2.751€ - 3.550€","2.751€ - 3.550€"
"15","R_2fj8NH0ZgFljpP6","600€ or less","600€ or less"
"16","R_2rT8Uwh2k11SLfS","600€ or less","600€ or less"
"17","R_33jnz5GadbSMChj","601€ - 900€","601€ - 900€"
"18","R_10qoJA7iQWLAaIO","901€ - 1.200€","901€ - 1.200€"
"19","R_1kFzlsBZ2rnDfyx","1.501€ - 1.800€","1.501€ - 1.800€"
"20","R_2TSmn4hcOOAZxTY","1.201€ - 1.500€","1.201€ - 1.500€"
"21","R_114lBejs7Lpr0LQ","600€ or less","600€ or less"
"22","R_27KiUotJXzq4YM5","600€ or less","600€ or less"
"23","R_25t1EUlovRNdqX7","1.801€ - 2.100€","1.801€ - 2.100€"
"24","R_1LIi7rr0iNkOi4g","1.201€ - 1.500€","1.201€ - 1.500€"
"25","R_2DZfyvE71J2yFI5","2.751€ - 3.550€","2.751€ - 3.550€"
"26","R_3iDXiDjGHimG0rJ","600€ or less","600€ or less"
"27","R_xr8zwINJAWnQ25j","600€ or less","600€ or less"
"28","R_12sRMxNBTCWY4Rp","1.801€ - 2.100€","1.801€ - 2.100€"
"29","R_PO5aMGNWYtlL5xn","600€ or less","600€ or less"
"30","R_7PZlqZ9hLAwdqHT","1.501€ - 1.800€","1.501€ - 1.800€"
"31","R_3ISN5eivRavSGOT","600€ or less","600€ or less"
"32","R_3oAdUj49F8KXfGM","601€ - 900€","601€ - 900€"
"33","R_3OcdIXig5EOGcdQ","1.501€ - 1.800€","1.501€ - 1.800€"
"34","R_32Sobc0HxXrcCOS","1.501€ - 1.800€","1.501€ - 1.800€"
"35","R_BIZ9UpfXqjDlLlD","2.751€ - 3.550€","2.751€ - 3.550€"
"36","R_ThByd1yocmsrDLX","901€ - 1.200€","901€ - 1.200€"
"37","R_3J4ukV1vh1pKbqf","600€ or less","600€ or less"
"38","R_2cvagiiu2VOICQo","2.751€ - 3.550€","2.751€ - 3.550€"
"39","R_1DYkRWBIUoGQ5wo","1.201€ - 1.500€","1.201€ - 1.500€"
"40","R_1hA9dXfAoyaMSAG","600€ or less","600€ or less"
"41","R_PvswTZDiUIAbfIl","600€ or less","600€ or less"
"42","R_1n2OrTOMLQxRxnK","901€ - 1.200€","901€ - 1.200€"
"43","R_cASxuCf6mMLXZEB","1.801€ - 2.100€","1.801€ - 2.100€"
"44","R_21hB0C3ZG0FlmbY","600€ or less","600€ or less"
"45","R_6kVlqphJ3ll01ih","601€ - 900€","601€ - 900€"
"46","R_DCctCkRSEQJaOHL","1.801€ - 2.100€","1.801€ - 2.100€"
"47","R_1ibzohu7cMD9Eoe","1.801€ - 2.100€","1.801€ - 2.100€"
"48","R_6u6JtHzjJSP1sAh","601€ - 900€","601€ - 900€"
"49","R_XBbtggBMeY74ziF","2.751€ - 3.550€","2.751€ - 3.550€"
"50","R_Bx1mz9yRRZFMgc9","600€ or less","600€ or less"
"51","R_XhrIUlMR1wDjB4Z","2.101€ - 2.400€","2.101€ - 2.400€"
"52","R_TvjYxoSo4zlJVF7","600€ or less","600€ or less"
"53","R_24ugdGlXQEenKvQ","2.751€ - 3.550€","2.751€ - 3.550€"
"54","R_3GuAT9GoZfmUL33","1.201€ - 1.500€","1.201€ - 1.500€"
"55","R_7Poct1OALddl4gF","1.501€ - 1.800€","1.501€ - 1.800€"
"56","R_NUUQRM7LMJzdtlL","1.201€ - 1.500€","1.201€ - 1.500€"
"57","R_2vdFzmcX1TPdXAR","600€ or less","600€ or less"
"58","R_3qOGn5IZCsLPvua","2.101€ - 2.400€","2.101€ - 2.400€"
"59","R_3exhXRqxUzvtsxR","600€ or less","600€ or less"
"60","R_3lMOKCH3MSbMgSk","2.101€ - 2.400€","2.101€ - 2.400€"
"61","R_2aIWiUcHRP0pqAZ","600€ or less","600€ or less"
"62","R_1FQZRCI5CUjPfmf","2.301€ - 2.750€","2.301€ - 2.750€"
"63","R_323heuWuY0xegsY","2.751€ - 3.550€","2.751€ - 3.550€"
"64","R_2X65XzdFYq29xPM","600€ or less","600€ or less"
"65","R_1QK3DcP0OSaJDEc","1.201€ - 1.500€","1.201€ - 1.500€"
"66","R_ptxgqEX1s0i45nX","600€ or less","600€ or less"
"67","R_21mJOY4SE7WMQfO","600€ or less","600€ or less"
"68","R_2BhYTgfhAZ1SjRf","600€ or less","600€ or less"
"69","R_1MS6ifsnjAdt0Bl","600€ or less","600€ or less"
"70","R_1jpiFsmzhicLlLb","901€ - 1.200€","901€ - 1.200€"
"71","R_2fGJf9PxfJ6cA72","More than 3.550€","More than 3.550€"
"72","R_sLike6N9gdKDSsV","600€ or less","600€ or less"
"73","R_w05xohT8tIs6Ii5","2.301€ - 2.750€","2.301€ - 2.750€"
"74","R_RCYhh3BvRCDG9S9","1.201€ - 1.500€","1.201€ - 1.500€"
"75","R_3kj0ec6OgLVSuFQ","901€ - 1.200€","901€ - 1.200€"
"76","R_3MASqvntIgGLoYi","1.201€ - 1.500€","1.201€ - 1.500€"
"77","R_272pHuL5RugBPfa","1.801€ - 2.100€","1.801€ - 2.100€"
"78","R_2v92oE92W3euOq2","1.201€ - 1.500€","1.201€ - 1.500€"
"79","R_1Lb1IckAPkT8hOB","600€ or less","600€ or less"
"80","R_ctHMDeaN59O7733","600€ or less","600€ or less"
"81","R_1n7lofsFvtgC9hy","601€ - 900€","601€ - 900€"
"82","R_z6ewdkh681g0DRf","600€ or less","600€ or less"
"83","R_1kUDv5Sf08Ik5na","600€ or less","600€ or less"
"84","R_3HSvk2hSo7wfy9j","601€ - 900€","601€ - 900€"
"85","R_2OMHgXtwk04Lqsd","600€ or less","600€ or less"
"86","R_3EXMqeQvKPRZd4s","1.201€ - 1.500€","1.201€ - 1.500€"
